ULCS_NO,SCHOOL_YEAR,SCH_TEACHER_ATTEND,SDP_TEACHER_ATTEND,SCHOOL_ID
"6310","2012-2013",188.6,93.8,"631"
"8380","2012-2013",190.4,93.8,"838"
"2320","2012-2013",189.4,93.8,"232"
"7730","2012-2013",187.8,93.8,"773"
"6470","2012-2013",186,93.8,"647"
"6450","2012-2013",187,93.8,"645"
"2190","2012-2013",188.2,93.8,"219"
"5350","2012-2013",188,93.8,"535"
"1050","2012-2013",191.8,93.8,"105"
"8010","2012-2013",189,93.8,"801"
"1470","2012-2013",188.6,93.8,"147"
"4310","2012-2013",183.6,93.8,"431"
"7470","2012-2013",188.8,93.8,"747"
"7120","2012-2013",186.8,93.8,"712"
"4150","2012-2013",173.6,93.8,"415"
"1420","2012-2013",193.8,93.8,"142"
"6230","2012-2013",175.8,93.8,"623"
"8200","2012-2013",187.2,93.8,"820"
"5320","2012-2013",191,93.8,"532"
"5080","2012-2013",184.8,93.8,"508"
"2490","2012-2013",192.4,93.8,"249"
"5050","2012-2013",194.4,93.8,"505"
"5470","2012-2013",190.2,93.8,"547"
"6220","2012-2013",190.6,93.8,"622"
"4330","2012-2013",183.6,93.8,"433"
"4320","2012-2013",191.8,93.8,"432"
"7100","2012-2013",187.2,93.8,"710"
"5070","2012-2013",186.6,93.8,"507"
"5020","2012-2013",186.2,93.8,"502"
"7260","2012-2013",192.8,93.8,"726"
"7360","2012-2013",179.8,93.8,"736"
"2020","2012-2013",190.6,93.8,"202"
"6320","2012-2013",186.2,93.8,"632"
"1440","2012-2013",185.4,93.8,"144"
"8250","2012-2013",186.2,93.8,"825"
"1340","2012-2013",183.6,93.8,"134"
"7130","2012-2013",186,93.8,"713"
"1300","2012-2013",191.2,93.8,"130"
"7510","2012-2013",187,93.8,"751"
"2450","2012-2013",174.4,93.8,"245"
"4300","2012-2013",187.6,93.8,"430"
"8160","2012-2013",191.2,93.8,"816"
"5210","2012-2013",189,93.8,"521"
"2340","2012-2013",192.4,93.8,"234"
"6540","2012-2013",191.4,93.8,"654"
"8370","2012-2013",187,93.8,"837"
"4380","2012-2013",185.2,93.8,"438"
"8390","2012-2013",189.8,93.8,"839"
"1260","2012-2013",191.6,93.8,"126"
"5550","2012-2013",190,93.8,"555"
"7370","2012-2013",188,93.8,"737"
"1110","2012-2013",193,93.8,"111"
"8430","2012-2013",191.4,93.8,"843"
"8350","2012-2013",187.8,93.8,"835"
"1080","2012-2013",187.2,93.8,"108"
"5110","2012-2013",191.4,93.8,"511"
"5490","2012-2013",167.8,93.8,"549"
"8300","2012-2013",188.6,93.8,"830"
"4280","2012-2013",188.4,93.8,"428"
"8210","2012-2013",190.8,93.8,"821"
"6390","2012-2013",184.8,93.8,"639"
"6270","2012-2013",188,93.8,"627"
"2410","2012-2013",191.2,93.8,"241"
"4560","2012-2013",182,93.8,"456"
"1360","2012-2013",184.2,93.8,"136"
"6400","2012-2013",189,93.8,"640"
"2650","2012-2013",193.2,93.8,"265"
"4240","2012-2013",188.8,93.8,"424"
"7500","2012-2013",188.2,93.8,"750"
"8260","2012-2013",186.2,93.8,"826"
"1330","2012-2013",181.4,93.8,"133"
"6410","2012-2013",185.4,93.8,"641"
"5450","2012-2013",192.2,93.8,"545"
"2470","2012-2013",188.4,93.8,"247"
"2720","2012-2013",192.4,93.8,"272"
"5280","2012-2013",181.4,93.8,"528"
"7330","2012-2013",183,93.8,"733"
"2480","2012-2013",186.4,93.8,"248"
"6060","2012-2013",185.4,93.8,"606"
"1010","2012-2013",185.2,93.8,"101"
"7290","2012-2013",176.8,93.8,"729"
"6380","2012-2013",189.8,93.8,"638"
"7390","2012-2013",184.2,93.8,"739"
"6030","2012-2013",190,93.8,"603"
"7430","2012-2013",184.6,93.8,"743"
"1150","2012-2013",191.8,93.8,"115"
"5370","2012-2013",184,93.8,"537"
"6210","2012-2013",195,93.8,"621"
"5600","2012-2013",191.4,93.8,"560"
"7460","2012-2013",183,93.8,"746"
"1530","2012-2013",182.8,93.8,"153"
"7490","2012-2013",191.6,93.8,"749"
"1060","2012-2013",184.2,93.8,"106"
"4450","2012-2013",185.8,93.8,"445"
"7350","2012-2013",187.8,93.8,"735"
"5650","2012-2013",186,93.8,"565"
"8410","2012-2013",190.2,93.8,"841"
"5250","2012-2013",184.2,93.8,"525"
"6430","2012-2013",184.6,93.8,"643"
"8090","2012-2013",190.4,93.8,"809"
"5340","2012-2013",185.6,93.8,"534"
"2260","2012-2013",192.4,93.8,"226"
"4060","2012-2013",187.6,93.8,"406"
"6440","2012-2013",189.6,93.8,"644"
"6460","2012-2013",188.6,93.8,"646"
"5330","2012-2013",188.2,93.8,"533"
"2620","2012-2013",195.4,93.8,"262"
"6200","2012-2013",190.4,93.8,"620"
"8030","2012-2013",189.2,93.8,"803"
"4140","2012-2013",187,93.8,"414"
"5090","2012-2013",193.6,93.8,"509"
"6040","2012-2013",192.8,93.8,"604"
"2510","2012-2013",190.2,93.8,"251"
"2290","2012-2013",178.4,93.8,"229"
"2210","2012-2013",190,93.8,"221"
"2240","2012-2013",188.2,93.8,"224"
"2420","2012-2013",190,93.8,"242"
"5530","2012-2013",184.8,93.8,"553"
"7150","2012-2013",188.8,93.8,"715"
"5590","2012-2013",185,93.8,"559"
"5680","2012-2013",190,93.8,"568"
"2130","2012-2013",190.2,93.8,"213"
"1490","2012-2013",187,93.8,"149"
"5420","2012-2013",186,93.8,"542"
"1280","2012-2013",193.2,93.8,"128"
"2160","2012-2013",193.6,93.8,"216"
"8360","2012-2013",187.8,93.8,"836"
"1380","2012-2013",190.4,93.8,"138"
"5500","2012-2013",186.4,93.8,"550"
"7220","2012-2013",178.6,93.8,"722"
"1020","2012-2013",190,93.8,"102"
"6250","2012-2013",189.2,93.8,"625"
"1250","2012-2013",192.4,93.8,"125"
"5290","2012-2013",188,93.8,"529"
"2200","2012-2013",184.2,93.8,"220"
"8240","2012-2013",182.2,93.8,"824"
"2640","2012-2013",186.2,93.8,"264"
"5430","2012-2013",185.2,93.8,"543"
"1190","2012-2013",184.6,93.8,"119"
"2370","2012-2013",181,93.8,"237"
"7280","2012-2013",188.2,93.8,"728"
"2380","2012-2013",190,93.8,"238"
"6010","2012-2013",194,93.8,"601"
"8340","2012-2013",188,93.8,"834"
"6090","2012-2013",186.6,93.8,"609"
"6330","2012-2013",189.4,93.8,"633"
"8230","2012-2013",179.6,93.8,"823"
"1580","2012-2013",186.2,93.8,"158"
"5150","2012-2013",190,93.8,"515"
"1100","2012-2013",186.8,93.8,"110"
"4220","2012-2013",190.4,93.8,"422"
"4020","2012-2013",184.8,93.8,"402"
"1200","2012-2013",185.4,93.8,"120"
"1030","2012-2013",189.6,93.8,"103"
"6260","2012-2013",187.6,93.8,"626"
"2440","2012-2013",188,93.8,"244"
"1230","2012-2013",187,93.8,"123"
"5440","2012-2013",185,93.8,"544"
"6240","2012-2013",183.4,93.8,"624"
"2730","2012-2013",191.6,93.8,"273"
"6050","2012-2013",186.8,93.8,"605"
"7440","2012-2013",180,93.8,"744"
"2140","2012-2013",190.8,93.8,"214"
"5240","2012-2013",185.6,93.8,"524"
"1130","2012-2013",185.4,93.8,"113"
"8120","2012-2013",186.8,93.8,"812"
