ULCS_NO,SCHOOL_YEAR,SCH_TEACHER_ATTEND,SDP_TEACHER_ATTEND,SCHOOL_ID
"4400","2012-2013",183.4,93.8,"440"
"1460","2012-2013",189.8,93.8,"146"
"2010","2012-2013",188.8,93.8,"201"
"2580","2012-2013",190,93.8,"258"
"4470","2012-2013",177.8,93.8,"447"
"1400","2012-2013",190,93.8,"140"
"8020","2012-2013",190,93.8,"802"
"7320","2012-2013",188.8,93.8,"732"
"2520","2012-2013",191.8,93.8,"252"
"8270","2012-2013",184.6,93.8,"827"
"1370","2012-2013",188.4,93.8,"137"
"4390","2012-2013",184.2,93.8,"439"
"2630","2012-2013",187.6,93.8,"263"
"1410","2012-2013",191.4,93.8,"141"
"1350","2012-2013",185.2,93.8,"135"
"1430","2012-2013",187.6,93.8,"143"
"4430","2012-2013",184,93.8,"443"
"7310","2012-2013",188.6,93.8,"731"
"7200","2012-2013",188.2,93.8,"720"
"2590","2012-2013",189.4,93.8,"259"
"2690","2012-2013",187.8,93.8,"269"
"5520","2012-2013",191,93.8,"552"
"7110","2012-2013",182.6,93.8,"711"
"6100","2012-2013",188.8,93.8,"610"
"5230","2012-2013",185.2,93.8,"523"
"5390","2012-2013",190.8,93.8,"539"
"8180","2012-2013",187,93.8,"818"
"5170","2012-2013",190.6,93.8,"517"
"5300","2012-2013",188,93.8,"530"
"8040","2012-2013",191.4,93.8,"804"
"5410","2012-2013",194,93.8,"541"
"8140","2012-2013",186,93.8,"814"
"2670","2012-2013",189,93.8,"267"
"4530","2012-2013",186.4,93.8,"453"
"6300","2012-2013",189.6,93.8,"630"
"6070","2012-2013",189.2,93.8,"607"
"4030","2012-2013",194.4,93.8,"403"
"2090","2012-2013",187.2,93.8,"209"
"4570","2012-2013",188.8,93.8,"457"
"7270","2012-2013",180.2,93.8,"727"
"7530","2012-2013",191,93.8,"753"
"8420","2012-2013",189.4,93.8,"842"
"8320","2012-2013",185.6,93.8,"832"
"6340","2012-2013",183.6,93.8,"634"
"4100","2012-2013",183.8,93.8,"410"
"6020","2012-2013",188.6,93.8,"602"
"5060","2012-2013",184.6,93.8,"506"
"4440","2012-2013",190.8,93.8,"444"
"4370","2012-2013",193,93.8,"437"
"6480","2012-2013",195.4,93.8,"648"
"5200","2012-2013",180.6,93.8,"520"
"7380","2012-2013",186.6,93.8,"738"
"4270","2012-2013",195,93.8,"427"
"4480","2012-2013",189.6,93.8,"448"
"5560","2012-2013",178.6,93.8,"556"
"5400","2012-2013",182.2,93.8,"540"
"5510","2012-2013",192.6,93.8,"551"
"6280","2012-2013",172.8,93.8,"628"
"7010","2012-2013",186.2,93.8,"701"
"2390","2012-2013",189.2,93.8,"239"
"5480","2012-2013",180.6,93.8,"548"
"1290","2012-2013",175,93.8,"129"
"2540","2012-2013",190.8,93.8,"254"
"8310","2012-2013",185,93.8,"831"
"8400","2012-2013",186.6,93.8,"840"
"7400","2012-2013",188,93.8,"740"
"6350","2012-2013",186,93.8,"635"
"4460","2012-2013",185.4,93.8,"446"
"5260","2012-2013",190.4,93.8,"526"
"7300","2012-2013",189,93.8,"730"
"8440","2012-2013",188.8,93.8,"844"
"6110","2012-2013",189.8,93.8,"611"
"2000","2012-2013",189.6,93.8,"200"
"1390","2012-2013",187,93.8,"139"
