SCHNAM,LSTREE,LCITY,LSTATE,LZIP
HOUSTON HENRY E SCH,7300 RURAL LN,PHILADELPHIA,PA,19119
JENKS JOHN S SCH,8301 GERMANTOWN AVE,PHILADELPHIA,PA,19118
LINGELBACH ANNA L SCH,6340 WAYNE AVE,PHILADELPHIA,PA,19144
LOGAN JAMES SCH,1700 LINDLEY AVE,PHILADELPHIA,PA,19141
MCCLOSKEY JOHN F SCH,8500 PICKERING ST,PHILADELPHIA,PA,19150
MIFFLIN THOMAS SCH,3624 CONRAD ST,PHILADELPHIA,PA,19129
PENNELL JOSEPH SCH,1800 NEDRO AVE,PHILADELPHIA,PA,19141
ROWEN WILLIAM SCH,6841 NORTH 19TH ST,PHILADELPHIA,PA,19126
SHAWMONT SCH,535 SHAWMONT AVE,PHILADELPHIA,PA,19128
DOBSON JAMES SCH,4667 UMBRIA ST,PHILADELPHIA,PA,19127
STEEL EDWARD SCH,4301 WAYNE AVE,PHILADELPHIA,PA,19140
WISTER JOHN SCH,67 EAST BRINGHURST ST,PHILADELPHIA,PA,19144
BARTON CLARA SCH,4600 ROSEHILL ST,PHILADELPHIA,PA,19120
CARNELL LAURA H SCH,1100 DEVEREAUX ST,PHILADELPHIA,PA,19111
ELLWOOD SCH,6701 NORTH 13TH ST,PHILADELPHIA,PA,19126
FINLETTER THOMAS K SCH,6100 NORTH FRONT ST,PHILADELPHIA,PA,19120
HOPKINSON FRANCIS SCH,4001 L ST,PHILADELPHIA,PA,19124
HOWE JULIA WARD SCH,5800 NORTH 13TH ST,PHILADELPHIA,PA,19141
LAWTON HENRY W SCH,6101 JACKSON ST,PHILADELPHIA,PA,19135
BRIDESBURG SCH,2824 JENKS ST,PHILADELPHIA,PA,19137
LOWELL JAMES R SCH,450 WEST NEDRO AVE,PHILADELPHIA,PA,19120
MORRISON ANDREW J SCH,5100 NORTH 3RD ST,PHILADELPHIA,PA,19120
OLNEY EL SCH,5301 NORTH WATER ST,PHILADELPHIA,PA,19120
FELTONVILLE INTERMEDIATE SCHOOL,238 EAST WYOMING AVE,PHILADELPHIA,PA,19120
SULLIVAN JAMES J SCH,5300 DITMAN ST,PHILADELPHIA,PA,19124
ZIEGLER WILLIAM H SCH,5935 SAUL ST,PHILADELPHIA,PA,19149
TAYLOR BAYARD SCH,3698 NORTH RANDOLPH ST,PHILADELPHIA,PA,19140
ALLEN ETHAN SCH,6329 BATTERSBY ST,PHILADELPHIA,PA,19149
COMLY WATSON SCH,1001 BYBERRY RD,PHILADELPHIA,PA,19116
CROSSAN KENNEDY C SCH,7350 BINGHAM ST,PHILADELPHIA,PA,19111
DISSTON HAMILTON SCH,6801 COTTAGE ST,PHILADELPHIA,PA,19135
FORREST EDWIN SCH,7300 COTTAGE ST,PHILADELPHIA,PA,19136
FOX CHASE SCH,500 RHAWN ST,PHILADELPHIA,PA,19111
HOLME THOMAS SCH,9120 ACADEMY RD,PHILADELPHIA,PA,19114
MAYFAIR SCH,3001 PRINCETON AVE,PHILADELPHIA,PA,19149
MOORE J HAMPTON SCH,6900 SUMMERDALE AVE,PHILADELPHIA,PA,19111
RHAWNHURST SCH,7809 CASTOR AVE,PHILADELPHIA,PA,19152
SOLIS-COHEN SOLOMON SCH,7001 HORROCKS ST,PHILADELPHIA,PA,19149
SPRUANCE GILBERT SCH,6401 HORROCKS ST,PHILADELPHIA,PA,19149
GIRARD STEPHEN SCH,1800 SNYDER AVE,PHILADELPHIA,PA,19145
FARRELL LOUIS H SCH,8300 CASTOR AVE,PHILADELPHIA,PA,19152
FITZPATRICK ALOYSIUS L SCH,11061 KNIGHTS RD,PHILADELPHIA,PA,19154
COMEGYS BENJAMIN B SCH,5100 GREENWAY AVE,PHILADELPHIA,PA,19143
POWEL SAMUEL SCH,301 NORTH 36TH ST,PHILADELPHIA,PA,19104
DICK WILLIAM SCH,2498 WEST DIAMOND ST,PHILADELPHIA,PA,19121
MARSHALL JOHN SCH,4500 GRISCOM ST,PHILADELPHIA,PA,19124
MITCHELL EL SCH,5500 KINGSESSING AVE,PHILADELPHIA,PA,19143
SHERIDAN SCH,800 EAST ONTARIO ST,PHILADELPHIA,PA,19134
POLLOCK ROBERT B SCH,2850 WELSH RD,PHILADELPHIA,PA,19152
FRANK ANNE SCH,2000 BOWLER ST,PHILADELPHIA,PA,19115
ANDERSON ADD B SCH,1034 SOUTH 60TH ST,PHILADELPHIA,PA,19143
ARTHUR CHESTER A SCH,2000 CATHARINE ST,PHILADELPHIA,PA,19146
HUEY SAMUEL B SCH,5200 PINE ST,PHILADELPHIA,PA,19143
MASTERMAN JULIA R SEC SCH,1699 SPRING GARDEN ST,PHILADELPHIA,PA,19130
BEEBER DIMNER MS,5925 MALVERN AVE,PHILADELPHIA,PA,19131
COOKE JAY MS,1300 WEST LOUDEN ST,PHILADELPHIA,PA,19141
FELS SAMUEL HS,5500 LANGDON ST,PHILADELPHIA,PA,19111
FURNESS HORACE HS,1900 SOUTH 3RD ST,PHILADELPHIA,PA,19148
HARDING WARREN G MS,2000 WAKELING ST,PHILADELPHIA,PA,19124
SAYRE WILLIAM L MS,5800 WALNUT ST,PHILADELPHIA,PA,19139
WAGNER GEN LOUIS MS,1701 WEST CHELTEN AVE,PHILADELPHIA,PA,19126
WILSON WOODROW MS,1800 COTTMAN AVE,PHILADELPHIA,PA,19111
STRAWBERRY MANSION HS,3133 RIDGE AVE,PHILADELPHIA,PA,19132
GIRLS HS,1400 WEST OLNEY AVE,PHILADELPHIA,PA,19141
ROXBOROUGH HS,6498 RIDGE AVE,PHILADELPHIA,PA,19128
LINCOLN HS,3201 RYAN AVE,PHILADELPHIA,PA,19136
